小新竹 （鼓楼）,江南菜,60,_黑芝麻胡同2_小新竹__好味道，品_江浙好手_。多_料理取材自江浙本地，保留了海_、田野_的原味，以日作夜封制，是一_道地的_味、一份_盛_食文化的__。
丽江大石头餐厅 （鼓楼）,云贵菜,75,云南特色餐厅，做菜原料都是从云南空运过来，做菜工艺考究，在保持当地特色的基础上有所创新
萨都里印度餐厅 （鼓楼）,印度菜,75,正宗印度风味美食
Gramercy （三里屯）,"美国菜, 意大利菜, 夜宵",75,Gramercy 是一家潮流纽约风格的葡萄酒酒吧，除了drinks，这里的经典美食自然也不能错过
Take 5,"墨西哥菜, 意大利菜",75,新鲜料足，美味势不可挡~
巴夏西餐厅,美国菜,90,欢乐时光尽在巴夏西餐厅
天堂烧烤吧（三里屯）,"墨西哥菜, 百家菜, 比萨",90,天堂酒吧餐厅的烤串估计是三里屯区域特别是新东路附近最受欢迎的吧？去年底刚推出的墨西哥餐更是赢得了大量客户的青睐，主厨在北京专门做墨西哥菜已逾十年，是品质与味道的有力保证
米琪披萨（CBD）,比萨,90,来自北京CBD商圈的意大利美味。
隐泉之语 （金融街）,日本菜,60,日本料理
天和晟京味菜馆,"北京烤鸭, 百家菜",60,"天和晟是一家主要做京菜,同时兼做官府菜、家常菜的餐厅。环境古雅大方,整体装修古色古香,很有老北京的感觉。"
红色生活 （金融街）,湘菜,60,本店湘菜风味以湖南邵阳本土菜为代表，口味以豆豉、鲜香、重辣、原汁原味，深受广大饮食爱好者的喜欢。
合兴源东北菜（金融街店）,东北菜,60,地道东北菜，家常风味，性价比不错哦
京味斋（月坛店）,百家菜,60,想吃最地道北京菜？不妨尝试这家
蟹王 （金融街）,"百家菜, 湘菜, 川菜",60,蟹王是以螃蟹类菜为特色，兼有湘菜、川菜和家常菜。特别推荐本店的香辣蟹、水煮鱼、盆盆虾和馋嘴蛙 ，期待你的品尝！
巴黎贝甜,甜品,60,"巴黎贝甜（PARIS BAGUETTE）是运营法国正宗面包的顶级面包店,主要经营正宗法式面包和美味蛋糕等。店内环境休闲，服务亲切，是一家受广大消费者喜爱的场所。目前有五道口店、东方广场一号店、国贸店、望京凯德Mall店、大成乐购店、中关村店、世贸天阶店、新光天地店、蓝色港湾店九家分店。"
一茶一坐,台湾菜,60,"享受一杯好茶，体验一种放松的心情，以茶为本，不断创造感动与温暖,为客人营造出温馨的_家_的感受。"
孔乙己餐厅 （复兴门店）,"江南菜, 百家菜",60,孔乙己（复兴门店）是孔乙己餐饮文化公司全力打造的精品店。店内装饰有别于 “孔乙己”一贯的古典含蓄，内部装潢雍容华美、高贵典雅，不求奢华而一睹优雅，既隐约可见传统的中式风情，又张显俊美的现代风采。出品精致地道，是北京餐饮市场江浙菜系中当之无愧的执牛耳者。
俏江南 （腾达店）,川菜,60,俏江南期望给予每一位顾客品种丰富、口味独特、营养健康的产品和难忘的用餐经验，期待顾客的再一次光临。以“时尚、经典、品位、尊宠”为经营理念，致力于打造一个世界级的中餐品牌，成为全球餐饮业的管理标杆。
甲丁坊西餐吧,"比萨, 美国菜",60,甲丁坊西餐吧以经营国际流行的融合菜式著称，菜品在西式烹制手法及出品形式的基础上融入世界各地的饮食元素，创意性强，给食客们带来全新的味觉体验。
南锣楹堤西餐吧 （鼓楼）,"比萨, 意大利菜",60,楹堤lelabo餐吧坐落于南锣鼓巷菊儿胡同18号，菜品以纯手工打制的薄饼pizza、、三明治、牛排、套餐等西式简餐为主，均精选食材配以顶级进口辅料精工制成！
岳麓山屋（后海店）,湘菜,60,正宗湖南菜，感受长沙岳麓书院阵阵香。
云南云海肴（后海）,云贵菜,60,四个80后创办的云南特色餐厅
EATALIA（地安门店）,"意大利菜, 比萨",60,精致正宗的意大利美食，EATALIA的意大利主厨Francesco Giordano设计的菜品和美酒完美搭配，将美味发挥的淋漓尽致。
66号后现代私房菜 （鼓楼）,百家菜,60,这家身处胡同深处的餐厅小而幽静，但菜品质量和口感绝不含糊。主营自创宫廷私房菜，口感更融合进现代川菜，鲁菜及广东菜，您不妨试试
__披萨 （后海）,"比萨, 意大利菜",60,__比萨，隐藏在胡同中的情调小店。
云南味道 （东四）,云贵菜,75,云南味道将滇南风情与现代时尚完美结合，餐厅格局上透出优雅时尚，更是在口味与菜品上追求原汁原味的云南菜。
拉兹印度音乐餐厅,印度菜,75,拉兹印度音乐餐厅坐落在鼓楼西大街周边一个造型独特的门楼里，餐厅主打正宗的印度风味菜肴，是北京公认的最地道的一家印度餐厅。
峡谷,云贵菜,75,云南菜
Mississippi & Metro西餐厅 （国贸）,"意大利菜, 美国菜",75,正宗的西餐厅，带有“家常风格”的环境给人的感觉“很温馨”，“轻柔”的背景音乐“若有若无”，是享受美食、和好友推心置腹的好地方，北京最好吃的意面！！
港岛茶餐厅 （国贸）,港式料理,75,来自香港的好味道，拥有澳大利亚厨师学院西餐和亚洲菜烹饪证书。两代人的传承，原产地进口原材料，给您纯正的香港味道。特选上等天然健康调料，品质与健康的保障
